foodid,food_name,unit,kal,select_time
262,甘蔗鳳梨,100g,57,0
263,甜蜜蜜鳳梨,100g,42,0
264,金鑽鳳梨,100g,50,0
265,牛奶鳳梨,100g,60,0
266,釋迦,100g,104,0
267,鳳梨釋迦,100g,102,0
268,桑葚,100g,32,0
269,桑葚汁,100g,25,0
270,草莓,100g,39,0
271,土芭樂,100g,39,0
272,芭樂平均值(白肉),100g,38,0
273,牛乳芭樂,100g,33,0
274,世紀芭樂,100g,40,0
275,珍珠芭樂,100g,42,0
276,泰國芭樂,100g,38,0
277,無子芭樂,100g,33,0
278,紅心芭樂,100g,42,0
279,楊桃平均值,100g,32,0
280,楊桃(2月取樣),100g,29,0
281,楊桃(4月取樣),100g,32,0
282,楊桃(5月取樣),100g,34,0
283,楊桃(9月取樣),100g,33,0
284,楊桃(11月取樣),100g,31,0
285,美國紅葡萄,100g,69,0
286,巨峰葡萄,100g,64,0
287,綠葡萄平均值,100g,58,0
288,美國綠葡萄,100g,64,0
289,意大利葡萄,100g,52,0
290,美國紅葡萄(含皮),100g,61,0
291,美國紫葡萄(含皮),100g,80,0
292,美國黑葡萄(含皮),100g,63,0
293,美國綠葡萄(含皮),100g,87,0
294,無子紅葡萄(含皮),100g,72,0
295,黑美人葡萄(含皮),100g,66,0
296,金香葡萄(含皮),100g,60,0
297,蓮霧平均值(粉紅色種),100g,35,0
298,紅寶石蓮霧,100g,33,0
299,黑金剛蓮霧,100g,34,0
300,黑珍珠蓮霧,100g,39,0
301,華寶大西瓜(花蓮),100g,33,0
302,西瓜平均值(紅肉小瓜),100g,33,0
303,皇宮西瓜,100g,32,0
304,紅鈴西瓜,100g,34,0
305,黑美人西瓜,100g,36,0
306,鳳光西瓜,100g,27,0
307,無子西瓜,100g,33,0
308,西瓜平均值(黃肉小瓜),100g,29,0
309,小玉西瓜,100g,35,0
310,金蘭西瓜,100g,24,0
311,嘉寶瓜,100g,40,0
312,甜瓜平均值(光皮洋香瓜),100g,30,0
313,太陽洋香瓜,100g,32,0
314,狀元瓜,100g,27,0
315,蜜世界洋香瓜,100g,29,0
316,甜瓜平均值(東洋系脆瓜),100g,37,0
317,美濃瓜,100g,37,0
318,黃香瓜,100g,30,0
319,嘉玉甜瓜,100g,43,0
